,Player Full Name,Player First Name,Player Last Name,Player API ID,Teams
95,Jordan Clarkson,Jordan,Clarkson,203903,"['Los Angeles Lakers', 'Cleveland Cavaliers', 'Utah Jazz']"
96,Nic Claxton,Nic,Claxton,1629651,['Brooklyn Nets']
97,Noah Clowney,Noah,Clowney,1641730,['Brooklyn Nets']
98,Amir Coffey,Amir,Coffey,1629599,['Los Angeles Clippers']
99,John Collins,John,Collins,1628381,"['Atlanta Hawks', 'Utah Jazz']"
100,Zach Collins,Zach,Collins,1628380,"['Portland Trail Blazers', 'San Antonio Spurs']"
101,Mike Conley,Mike,Conley,201144,"['Memphis Grizzlies', 'Utah Jazz', 'Minnesota Timberwolves']"
102,Pat Connaughton,Pat,Connaughton,1626192,"['Portland Trail Blazers', 'Milwaukee Bucks']"
103,Bilal Coulibaly,Bilal,Coulibaly,1641731,['Washington Wizards']
105,Robert Covington,Robert,Covington,203496,"['Houston Rockets', 'Philadelphia 76ers', 'Minnesota Timberwolves', 'Houston Rockets', 'Portland Trail Blazers', 'Los Angeles Clippers', 'Philadelphia 76ers']"
106,Torrey Craig,Torrey,Craig,1628470,"['Denver Nuggets', 'Milwaukee Bucks', 'Phoenix Suns', 'Indiana Pacers', 'Phoenix Suns', 'Chicago Bulls']"
107,Jae Crowder,Jae,Crowder,203109,"['Dallas Mavericks', 'Boston Celtics', 'Cleveland Cavaliers', 'Utah Jazz', 'Memphis Grizzlies', 'Miami Heat', 'Phoenix Suns', 'Milwaukee Bucks']"
108,Cade Cunningham,Cade,Cunningham,1630595,['Detroit Pistons']
109,Seth Curry,Seth,Curry,203552,"['Memphis Grizzlies', 'Cleveland Cavaliers', 'Phoenix Suns', 'Sacramento Kings', 'Dallas Mavericks', 'Portland Trail Blazers', 'Dallas Mavericks', 'Philadelphia 76ers', 'Brooklyn Nets', 'Dallas Mavericks']"
110,Stephen Curry,Stephen,Curry,201939,['Golden State Warriors']
111,Dyson Daniels,Dyson,Daniels,1630700,['New Orleans Pelicans']
112,Anthony Davis,Anthony,Davis,203076,"['New Orleans Pelicans', 'Los Angeles Lakers']"
113,Johnny Davis,Johnny,Davis,1631098,['Washington Wizards']
114,JD Davison,JD,Davison,1631120,['Boston Celtics']
115,DeMar DeRozan,DeMar,DeRozan,201942,"['Toronto Raptors', 'San Antonio Spurs', 'Chicago Bulls']"
116,Dexter Dennis,Dexter,Dennis,1641926,['Dallas Mavericks']
117,Donte DiVincenzo,Donte,DiVincenzo,1628978,"['Milwaukee Bucks', 'Sacramento Kings', 'Golden State Warriors', 'New York Knicks']"
118,Moussa Diabate,Moussa,Diabate,1631217,['Los Angeles Clippers']
119,Gradey Dick,Gradey,Dick,1641711,['Toronto Raptors']
120,Ousmane Dieng,Ousmane,Dieng,1631172,['Oklahoma City Thunder']
121,Spencer Dinwiddie,Spencer,Dinwiddie,203915,"['Detroit Pistons', 'Brooklyn Nets', 'Washington Wizards', 'Dallas Mavericks', 'Brooklyn Nets']"
122,Luka Doncic,Luka,Doncic,1629029,['Dallas Mavericks']
123,Luguentz Dort,Luguentz,Dort,1629652,['Oklahoma City Thunder']
124,Ayo Dosunmu,Ayo,Dosunmu,1630245,['Chicago Bulls']
125,Andre Drummond,Andre,Drummond,203083,"['Detroit Pistons', 'Cleveland Cavaliers', 'Los Angeles Lakers', 'Philadelphia 76ers', 'Brooklyn Nets', 'Chicago Bulls']"
126,Chris Duarte,Chris,Duarte,1630537,"['Indiana Pacers', 'Sacramento Kings']"
127,Kris Dunn,Kris,Dunn,1627739,"['Minnesota Timberwolves', 'Chicago Bulls', 'Atlanta Hawks', 'Portland Trail Blazers', 'Utah Jazz']"
128,Kevin Durant,Kevin,Durant,201142,"['Oklahoma City Thunder', 'Golden State Warriors', 'Brooklyn Nets', 'Phoenix Suns']"
129,Jalen Duren,Jalen,Duren,1631105,['Detroit Pistons']
130,Tari Eason,Tari,Eason,1631106,['Houston Rockets']
131,Anthony Edwards,Anthony,Edwards,1630162,['Minnesota Timberwolves']
132,Kessler Edwards,Kessler,Edwards,1630556,"['Brooklyn Nets', 'Sacramento Kings']"
133,Keon Ellis,Keon,Ellis,1631165,['Sacramento Kings']
134,Joel Embiid,Joel,Embiid,203954,['Philadelphia 76ers']
135,Drew Eubanks,Drew,Eubanks,1629234,"['San Antonio Spurs', 'Portland Trail Blazers', 'Phoenix Suns']"
136,Dante Exum,Dante,Exum,203957,"['Utah Jazz', 'Cleveland Cavaliers', 'Dallas Mavericks']"
137,Bruno Fernando,Bruno,Fernando,1628981,"['Atlanta Hawks', 'Boston Celtics', 'Houston Rockets', 'Atlanta Hawks']"
138,Dorian Finney-Smith,Dorian,Finney-Smith,1627827,"['Dallas Mavericks', 'Brooklyn Nets']"
139,Malachi Flynn,Malachi,Flynn,1630201,['Toronto Raptors']
140,Simone Fontecchio,Simone,Fontecchio,1631323,['Utah Jazz']
141,Jordan Ford,Jordan,Ford,1630259,['Sacramento Kings']
142,Trent Forrest,Trent,Forrest,1630235,"['Utah Jazz', 'Atlanta Hawks']"
143,Evan Fournier,Evan,Fournier,203095,"['Denver Nuggets', 'Orlando Magic', 'Boston Celtics', 'New York Knicks']"
144,De'Aaron Fox,De'Aaron,Fox,1628368,['Sacramento Kings']
146,Alex Fudge,Alex,Fudge,1641788,['Los Angeles Lakers']
147,Markelle Fultz,Markelle,Fultz,1628365,"['Philadelphia 76ers', 'Orlando Magic']"
148,Daniel Gafford,Daniel,Gafford,1629655,"['Chicago Bulls', 'Washington Wizards']"
149,Danilo Gallinari,Danilo,Gallinari,201568,"['New York Knicks', 'Denver Nuggets', 'Los Angeles Clippers', 'Oklahoma City Thunder', 'Atlanta Hawks', 'Washington Wizards']"
150,Darius Garland,Darius,Garland,1629636,['Cleveland Cavaliers']
151,Usman Garuba,Usman,Garuba,1630586,['Houston Rockets']
152,Luka Garza,Luka,Garza,1630568,"['Detroit Pistons', 'Minnesota Timberwolves']"
153,Kaiser Gates,Kaiser,Gates,1629232,['New Orleans Pelicans']
154,Keyonte George,Keyonte,George,1641718,['Utah Jazz']
155,Paul George,Paul,George,202331,"['Indiana Pacers', 'Oklahoma City Thunder', 'Los Angeles Clippers']"
156,Josh Giddey,Josh,Giddey,1630581,['Oklahoma City Thunder']
157,Harry Giles III,Harry,Giles III,1628385,"['Sacramento Kings', 'Portland Trail Blazers', 'Brooklyn Nets']"
158,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,1628983,"['Los Angeles Clippers', 'Oklahoma City Thunder']"
159,Anthony Gill,Anthony,Gill,1630264,['Washington Wizards']
160,Collin Gillespie,Collin,Gillespie,1631221,['Denver Nuggets']
161,Jacob Gilyard,Jacob,Gilyard,1631367,['Memphis Grizzlies']
162,Rudy Gobert,Rudy,Gobert,203497,"['Utah Jazz', 'Minnesota Timberwolves']"
163,Jordan Goodwin,Jordan,Goodwin,1630692,"['Washington Wizards', 'Phoenix Suns']"
164,Aaron Gordon,Aaron,Gordon,203932,"['Orlando Magic', 'Denver Nuggets']"
165,Eric Gordon,Eric,Gordon,201569,"['Los Angeles Clippers', 'New Orleans Pelicans', 'Houston Rockets', 'Los Angeles Clippers', 'Phoenix Suns']"
166,Devonte' Graham,Devonte',Graham,1628984,"['Charlotte Hornets', 'New Orleans Pelicans', 'San Antonio Spurs']"
167,Jerami Grant,Jerami,Grant,203924,"['Philadelphia 76ers', 'Oklahoma City Thunder', 'Denver Nuggets', 'Detroit Pistons', 'Portland Trail Blazers']"
168,AJ Green,AJ,Green,1631260,['Milwaukee Bucks']
169,Danny Green,Danny,Green,201980,"['Cleveland Cavaliers', 'San Antonio Spurs', 'Toronto Raptors', 'Los Angeles Lakers', 'Philadelphia 76ers', 'Memphis Grizzlies', 'Cleveland Cavaliers', 'Philadelphia 76ers']"
170,Draymond Green,Draymond,Green,203110,['Golden State Warriors']
171,Jalen Green,Jalen,Green,1630224,['Houston Rockets']
172,Jeff Green,Jeff,Green,201145,"['Oklahoma City Thunder', 'Boston Celtics', 'Memphis Grizzlies', 'Los Angeles Clippers', 'Orlando Magic', 'Cleveland Cavaliers', 'Washington Wizards', 'Utah Jazz', 'Houston Rockets', 'Brooklyn Nets', 'Denver Nuggets', 'Houston Rockets']"
173,Josh Green,Josh,Green,1630182,['Dallas Mavericks']
174,AJ Griffin,AJ,Griffin,1631100,['Atlanta Hawks']
175,Quentin Grimes,Quentin,Grimes,1629656,['New York Knicks']
176,Mouhamed Gueye,Mouhamed,Gueye,1631243,['Atlanta Hawks']
177,Rui Hachimura,Rui,Hachimura,1629060,"['Washington Wizards', 'Los Angeles Lakers']"
178,Tyrese Haliburton,Tyrese,Haliburton,1630169,"['Sacramento Kings', 'Indiana Pacers']"
179,R.J. Hampton,R.J.,Hampton,1630181,"['Denver Nuggets', 'Orlando Magic', 'Detroit Pistons', 'Miami Heat']"
180,Tim Hardaway Jr.,Tim,Hardaway Jr.,203501,"['New York Knicks', 'Atlanta Hawks', 'New York Knicks', 'Dallas Mavericks']"
181,James Harden,James,Harden,201935,"['Oklahoma City Thunder', 'Houston Rockets', 'Brooklyn Nets', 'Philadelphia 76ers', 'Los Angeles Clippers']"
182,Jaden Hardy,Jaden,Hardy,1630702,['Dallas Mavericks']
183,Ron Harper Jr.,Ron,Harper Jr.,1631199,['Toronto Raptors']
184,Gary Harris,Gary,Harris,203914,"['Denver Nuggets', 'Orlando Magic']"
185,Joe Harris,Joe,Harris,203925,"['Cleveland Cavaliers', 'Brooklyn Nets', 'Detroit Pistons']"
186,Kevon Harris,Kevon,Harris,1630284,['Orlando Magic']
187,Tobias Harris,Tobias,Harris,202699,"['Milwaukee Bucks', 'Orlando Magic', 'Detroit Pistons', 'Los Angeles Clippers', 'Philadelphia 76ers']"
188,Josh Hart,Josh,Hart,1628404,"['Los Angeles Lakers', 'New Orleans Pelicans', 'Portland Trail Blazers', 'New York Knicks']"
189,Isaiah Hartenstein,Isaiah,Hartenstein,1628392,"['Houston Rockets', 'Denver Nuggets', 'Cleveland Cavaliers', 'Los Angeles Clippers', 'New York Knicks']"
190,Sam Hauser,Sam,Hauser,1630573,['Boston Celtics']
191,Jordan Hawkins,Jordan,Hawkins,1641722,['New Orleans Pelicans']
192,Jaxson Hayes,Jaxson,Hayes,1629637,"['New Orleans Pelicans', 'Los Angeles Lakers']"
193,Killian Hayes,Killian,Hayes,1630165,['Detroit Pistons']
194,Gordon Hayward,Gordon,Hayward,202330,"['Utah Jazz', 'Boston Celtics', 'Charlotte Hornets']"
195,Scoot Henderson,Scoot,Henderson,1630703,['Portland Trail Blazers']
196,Taylor Hendricks,Taylor,Hendricks,1641707,['Utah Jazz']
197,Tyler Herro,Tyler,Herro,1629639,['Miami Heat']
198,Buddy Hield,Buddy,Hield,1627741,"['New Orleans Pelicans', 'Sacramento Kings', 'Indiana Pacers']"
199,Haywood Highsmith,Haywood,Highsmith,1629312,"['Philadelphia 76ers', 'Miami Heat']"
200,Nate Hinton,Nate,Hinton,1630207,"['Dallas Mavericks', 'Indiana Pacers', 'Houston Rockets']"
201,D'Moi Hodge,D'Moi,Hodge,1641793,['Los Angeles Lakers']
202,Aaron Holiday,Aaron,Holiday,1628988,"['Indiana Pacers', 'Washington Wizards', 'Phoenix Suns', 'Atlanta Hawks', 'Houston Rockets']"
203,Jrue Holiday,Jrue,Holiday,201950,"['Philadelphia 76ers', 'New Orleans Pelicans', 'Milwaukee Bucks', 'Boston Celtics']"
204,Justin Holiday,Justin,Holiday,203200,"['Philadelphia 76ers', 'Golden State Warriors', 'Atlanta Hawks', 'Chicago Bulls', 'New York Knicks', 'Chicago Bulls', 'Memphis Grizzlies', 'Indiana Pacers', 'Sacramento Kings', 'Atlanta Hawks', 'Dallas Mavericks', 'Denver Nuggets']"
205,Richaun Holmes,Richaun,Holmes,1626158,"['Philadelphia 76ers', 'Phoenix Suns', 'Sacramento Kings', 'Dallas Mavericks']"
206,Chet Holmgren,Chet,Holmgren,1631096,['Oklahoma City Thunder']
207,Jalen Hood-Schifino,Jalen,Hood-Schifino,1641720,['Los Angeles Lakers']
208,Al Horford,Al,Horford,201143,"['Atlanta Hawks', 'Boston Celtics', 'Philadelphia 76ers', 'Oklahoma City Thunder', 'Boston Celtics']"
209,Talen Horton-Tucker,Talen,Horton-Tucker,1629659,"['Los Angeles Lakers', 'Utah Jazz']"
210,Danuel House Jr.,Danuel,House Jr.,1627863,"['Washington Wizards', 'Phoenix Suns', 'Houston Rockets', 'New York Knicks', 'Utah Jazz', 'Philadelphia 76ers']"
211,Caleb Houstan,Caleb,Houstan,1631216,['Orlando Magic']
212,Jett Howard,Jett,Howard,1641724,['Orlando Magic']
213,Kevin Huerter,Kevin,Huerter,1628989,"['Atlanta Hawks', 'Sacramento Kings']"
214,Jay Huff,Jay,Huff,1630643,"['Los Angeles Lakers', 'Washington Wizards', 'Denver Nuggets']"
215,De'Andre Hunter,De'Andre,Hunter,1629631,['Atlanta Hawks']
216,Bones Hyland,Bones,Hyland,1630538,"['Denver Nuggets', 'Los Angeles Clippers']"
217,Joe Ingles,Joe,Ingles,204060,"['Utah Jazz', 'Milwaukee Bucks', 'Orlando Magic']"
218,Brandon Ingram,Brandon,Ingram,1627742,"['Los Angeles Lakers', 'New Orleans Pelicans']"
219,Kyrie Irving,Kyrie,Irving,202681,"['Cleveland Cavaliers', 'Boston Celtics', 'Brooklyn Nets', 'Dallas Mavericks']"
220,Jonathan Isaac,Jonathan,Isaac,1628371,['Orlando Magic']
221,Jaden Ivey,Jaden,Ivey,1631093,['Detroit Pistons']
222,GG Jackson,GG,Jackson,1641713,['Memphis Grizzlies']
223,Isaiah Jackson,Isaiah,Jackson,1630543,['Indiana Pacers']
224,Reggie Jackson,Reggie,Jackson,202704,"['Oklahoma City Thunder', 'Detroit Pistons', 'Los Angeles Clippers', 'Denver Nuggets']"
225,Andre Jackson Jr.,Andre,Jackson Jr.,1641748,['Milwaukee Bucks']
226,Jaren Jackson Jr.,Jaren,Jackson Jr.,1628991,['Memphis Grizzlies']
227,Trayce Jackson-Davis,Trayce,Jackson-Davis,1631218,['Golden State Warriors']
228,LeBron James,LeBron,James,2544,"['Cleveland Cavaliers', 'Miami Heat', 'Cleveland Cavaliers', 'Los Angeles Lakers']"
229,Jaime Jaquez Jr.,Jaime,Jaquez Jr.,1631170,['Miami Heat']
230,DaQuan Jeffries,DaQuan,Jeffries,1629610,"['Sacramento Kings', 'Houston Rockets', 'Memphis Grizzlies', 'New York Knicks']"
231,Ty Jerome,Ty,Jerome,1629660,"['Phoenix Suns', 'Oklahoma City Thunder', 'Golden State Warriors', 'Cleveland Cavaliers']"
232,Isaiah Joe,Isaiah,Joe,1630198,"['Philadelphia 76ers', 'Oklahoma City Thunder']"
233,Cameron Johnson,Cameron,Johnson,1629661,"['Phoenix Suns', 'Brooklyn Nets']"
234,Jalen Johnson,Jalen,Johnson,1630552,['Atlanta Hawks']
235,Keldon Johnson,Keldon,Johnson,1629640,['San Antonio Spurs']
236,Keon Johnson,Keon,Johnson,1630553,"['Los Angeles Clippers', 'Portland Trail Blazers']"
237,Keyontae Johnson,Keyontae,Johnson,1641749,['Oklahoma City Thunder']
238,Nikola Jokic,Nikola,Jokic,203999,['Denver Nuggets']
239,Colby Jones,Colby,Jones,1641732,['Sacramento Kings']
240,Damian Jones,Damian,Jones,1627745,"['Golden State Warriors', 'Atlanta Hawks', 'Phoenix Suns', 'Los Angeles Lakers', 'Sacramento Kings', 'Los Angeles Lakers', 'Utah Jazz', 'Cleveland Cavaliers']"
241,Herbert Jones,Herbert,Jones,1630529,['New Orleans Pelicans']
242,Tre Jones,Tre,Jones,1630200,['San Antonio Spurs']
243,Tyus Jones,Tyus,Jones,1626145,"['Minnesota Timberwolves', 'Memphis Grizzlies', 'Washington Wizards']"
244,Derrick Jones Jr.,Derrick,Jones Jr.,1627884,"['Phoenix Suns', 'Miami Heat', 'Portland Trail Blazers', 'Chicago Bulls', 'Dallas Mavericks']"
245,DeAndre Jordan,DeAndre,Jordan,201599,"['Los Angeles Clippers', 'Dallas Mavericks', 'New York Knicks', 'Brooklyn Nets', 'Los Angeles Lakers', 'Philadelphia 76ers', 'Denver Nuggets']"
246,Cory Joseph,Cory,Joseph,202709,"['San Antonio Spurs', 'Toronto Raptors', 'Indiana Pacers', 'Sacramento Kings', 'Detroit Pistons', 'Golden State Warriors']"
247,Nikola Jovic,Nikola,Jovic,1631107,['Miami Heat']
248,Johnny Juzang,Johnny,Juzang,1630548,['Utah Jazz']
249,Luke Kennard,Luke,Kennard,1628379,"['Detroit Pistons', 'Los Angeles Clippers', 'Memphis Grizzlies']"
250,Walker Kessler,Walker,Kessler,1631117,['Utah Jazz']
251,Braxton Key,Braxton,Key,1630296,"['Philadelphia 76ers', 'Detroit Pistons', 'Denver Nuggets']"
252,Corey Kispert,Corey,Kispert,1630557,['Washington Wizards']
253,Maxi Kleber,Maxi,Kleber,1628467,['Dallas Mavericks']
254,Nathan Knight,Nathan,Knight,1630233,"['Atlanta Hawks', 'Minnesota Timberwolves']"
255,Kevin Knox II,Kevin,Knox II,1628995,"['New York Knicks', 'Atlanta Hawks', 'Detroit Pistons', 'Portland Trail Blazers', 'Detroit Pistons']"
256,Christian Koloko,Christian,Koloko,1631132,['Toronto Raptors']
257,John Konchar,John,Konchar,1629723,['Memphis Grizzlies']
258,Furkan Korkmaz,Furkan,Korkmaz,1627788,['Philadelphia 76ers']
259,Luke Kornet,Luke,Kornet,1628436,"['New York Knicks', 'Chicago Bulls', 'Boston Celtics', 'Cleveland Cavaliers', 'Milwaukee Bucks', 'Boston Celtics']"
260,Jonathan Kuminga,Jonathan,Kuminga,1630228,['Golden State Warriors']
261,Kyle Kuzma,Kyle,Kuzma,1628398,"['Los Angeles Lakers', 'Washington Wizards']"
262,Jake LaRavia,Jake,LaRavia,1631222,['Memphis Grizzlies']
